image_right,image_left,lat,long,travel_bearing
streetview_235_right.jpg,streetview_235_left.jpg,37.72637684,-122.4393303,335.9
streetview_236_right.jpg,streetview_236_left.jpg,37.7844633,-122.4722178,202.3
streetview_237_right.jpg,streetview_237_left.jpg,37.73649179,-122.4970701,358.1
streetview_238_right.jpg,streetview_238_left.jpg,37.77377956,-122.4985941,142.3
streetview_239_right.jpg,streetview_239_left.jpg,37.73253771,-122.4582322,232.1
streetview_240_right.jpg,streetview_240_left.jpg,37.72839567,-122.4649482,28.5
streetview_241_right.jpg,streetview_241_left.jpg,37.76271807,-122.4413461,84.6
streetview_242_right.jpg,streetview_242_left.jpg,37.76581628,-122.3997381,187.4
streetview_243_right.jpg,streetview_243_left.jpg,37.73114599,-122.4054072,315.2
streetview_244_right.jpg,streetview_244_left.jpg,37.73660303,-122.4122624,337.2
streetview_245_right.jpg,streetview_245_left.jpg,37.79045726,-122.4409126,167.9
streetview_246_right.jpg,streetview_246_left.jpg,37.73259139,-122.4252844,308.6
streetview_247_right.jpg,streetview_247_left.jpg,37.7752846,-122.4929851,118.6
streetview_248_right.jpg,streetview_248_left.jpg,37.74111633,-122.4138434,355.9
streetview_249_right.jpg,streetview_249_left.jpg,37.80043962,-122.4192848,241.0
streetview_250_right.jpg,streetview_250_left.jpg,37.79636873,-122.4285881,248.4
streetview_251_right.jpg,streetview_251_left.jpg,37.77880416,-122.4846289,68.7
streetview_252_right.jpg,streetview_252_left.jpg,37.80254587,-122.4075861,254.4
streetview_253_right.jpg,streetview_253_left.jpg,37.78581736,-122.483351,213.8
streetview_254_right.jpg,streetview_254_left.jpg,37.76240738,-122.5031895,148.9
streetview_255_right.jpg,streetview_255_left.jpg,37.72446835,-122.4742689,95.9
streetview_256_right.jpg,streetview_256_left.jpg,37.72097899,-122.4314597,54.7
streetview_257_right.jpg,streetview_257_left.jpg,37.73289547,-122.4101596,134.8
streetview_258_right.jpg,streetview_258_left.jpg,37.7227878,-122.3973088,287.1
streetview_259_right.jpg,streetview_259_left.jpg,37.7423299,-122.47778,99.7
streetview_260_right.jpg,streetview_260_left.jpg,37.73159906,-122.3988532,293.6
streetview_261_right.jpg,streetview_261_left.jpg,37.75636225,-122.4706024,53.5
streetview_262_right.jpg,streetview_262_left.jpg,37.77606317,-122.4368633,177.9
streetview_263_right.jpg,streetview_263_left.jpg,37.71555543,-122.4341058,82.0
streetview_264_right.jpg,streetview_264_left.jpg,37.72094738,-122.3856727,325.8
streetview_265_right.jpg,streetview_265_left.jpg,37.78771284,-122.4431932,144.6
streetview_266_right.jpg,streetview_266_left.jpg,37.72515169,-122.3870063,279.5
streetview_267_right.jpg,streetview_267_left.jpg,37.7321029,-122.4397342,300.3
streetview_268_right.jpg,streetview_268_left.jpg,37.75093914,-122.4805298,132.1
streetview_269_right.jpg,streetview_269_left.jpg,37.74001077,-122.4652347,86.8
streetview_270_right.jpg,streetview_270_left.jpg,37.74199099,-122.4196923,210.0
streetview_271_right.jpg,streetview_271_left.jpg,37.71307117,-122.4407758,38.7
streetview_272_right.jpg,streetview_272_left.jpg,37.748099,-122.405268,253.1
streetview_273_right.jpg,streetview_273_left.jpg,37.73794408,-122.447416,93.7
streetview_274_right.jpg,streetview_274_left.jpg,37.73544192,-122.398067,221.0
streetview_275_right.jpg,streetview_275_left.jpg,37.72650951,-122.4078728,281.2
streetview_276_right.jpg,streetview_276_left.jpg,37.73257974,-122.446579,123.9
streetview_277_right.jpg,streetview_277_left.jpg,37.71338458,-122.4104497,344.1
streetview_278_right.jpg,streetview_278_left.jpg,37.74204009,-122.4207764,324.6
streetview_279_right.jpg,streetview_279_left.jpg,37.75055894,-122.4284282,249.8
streetview_280_right.jpg,streetview_280_left.jpg,37.74387636,-122.4513549,88.9
streetview_281_right.jpg,streetview_281_left.jpg,37.74463085,-122.4030038,341.9
streetview_282_right.jpg,streetview_282_left.jpg,37.7525742,-122.4062853,14.4
streetview_283_right.jpg,streetview_283_left.jpg,37.76348018,-122.4027543,253.1
streetview_284_right.jpg,streetview_284_left.jpg,37.74315004,-122.487508,152.2
streetview_285_right.jpg,streetview_285_left.jpg,37.71425909,-122.4682843,44.8
streetview_286_right.jpg,streetview_286_left.jpg,37.74773674,-122.4262744,175.8
streetview_287_right.jpg,streetview_287_left.jpg,37.74534032,-122.4260492,254.2
streetview_288_right.jpg,streetview_288_left.jpg,37.7307375,-122.491039,59.6
streetview_289_right.jpg,streetview_289_left.jpg,37.75090935,-122.4476163,185.0
streetview_290_right.jpg,streetview_290_left.jpg,37.71039359,-122.4521018,285.0
streetview_291_right.jpg,streetview_291_left.jpg,37.71338165,-122.4661764,10.8
streetview_292_right.jpg,streetview_292_left.jpg,37.75541815,-122.455992,185.9
